success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,view_history,rt,stimulus,response,task,retrieval_group,correct_response,correct
TRUE,FALSE,[],[],[],preload,0,4383,0.0-0.0,7,,,,,,,,
TRUE,,,,,fullscreen,1,7956,0.0-1.0,7,,,,,,,,
,,,,,instructions,2,17303,0.0-2.0,7,"[{""page_index"":0,""viewing_time"":9346}]",9347,,,,,,
,,,,,html-keyboard-response,3,27311,0.0-3.0,7,,10005,"Welcome to the experiment. <br /><br />This experiment will take about 20 minutes. Please complete all in one sitting. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,,,,
,,,,,instructions,4,86472,0.0-4.0,7,"[{""page_index"":0,""viewing_time"":20695},{""page_index"":1,""viewing_time"":33795},{""page_index"":2,""viewing_time"":3670}]",58160,,,,,,
,,,,,html-keyboard-response,5,89476,0.0-5.0-0.0,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,6,95489,0.0-5.0-1.0,7,,null,img/encoding_events/Event_13.jpg,null,,,,
,,,,,html-keyboard-response,7,95991,0.0-5.0-0.1,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,8,102004,0.0-5.0-1.1,7,,null,img/encoding_events/Event_5.jpg,null,,,,
,,,,,html-keyboard-response,9,102507,0.0-5.0-0.2,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,10,108521,0.0-5.0-1.2,7,,null,img/encoding_events/Event_23.jpg,null,,,,
,,,,,html-keyboard-response,11,109026,0.0-5.0-0.3,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,12,115040,0.0-5.0-1.3,7,,null,img/encoding_events/Event_8.jpg,null,,,,
,,,,,html-keyboard-response,13,115545,0.0-5.0-0.4,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,14,121556,0.0-5.0-1.4,7,,null,img/encoding_events/Event_2.jpg,null,,,,
,,,,,html-keyboard-response,15,122060,0.0-5.0-0.5,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,16,128075,0.0-5.0-1.5,7,,null,img/encoding_events/Event_6.jpg,null,,,,
,,,,,html-keyboard-response,17,128576,0.0-5.0-0.6,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,18,134588,0.0-5.0-1.6,7,,null,img/encoding_events/Event_22.jpg,null,,,,
,,,,,html-keyboard-response,19,135089,0.0-5.0-0.7,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,20,141101,0.0-5.0-1.7,7,,null,img/encoding_events/Event_15.jpg,null,,,,
,,,,,html-keyboard-response,21,141603,0.0-5.0-0.8,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,22,147614,0.0-5.0-1.8,7,,null,img/encoding_events/Event_24.jpg,null,,,,
,,,,,html-keyboard-response,23,148118,0.0-5.0-0.9,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,24,154132,0.0-5.0-1.9,7,,null,img/encoding_events/Event_7.jpg,null,,,,
,,,,,html-keyboard-response,25,154635,0.0-5.0-0.10,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,26,160646,0.0-5.0-1.10,7,,null,img/encoding_events/Event_4.jpg,null,,,,
,,,,,html-keyboard-response,27,161147,0.0-5.0-0.11,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,28,167161,0.0-5.0-1.11,7,,null,img/encoding_events/Event_9.jpg,null,,,,
,,,,,html-keyboard-response,29,167666,0.0-5.0-0.12,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,30,173678,0.0-5.0-1.12,7,,null,img/encoding_events/Event_19.jpg,null,,,,
,,,,,html-keyboard-response,31,174182,0.0-5.0-0.13,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,32,180193,0.0-5.0-1.13,7,,null,img/encoding_events/Event_18.jpg,null,,,,
,,,,,html-keyboard-response,33,180698,0.0-5.0-0.14,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,34,186711,0.0-5.0-1.14,7,,null,img/encoding_events/Event_3.jpg,null,,,,
,,,,,html-keyboard-response,35,187214,0.0-5.0-0.15,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,36,193228,0.0-5.0-1.15,7,,null,img/encoding_events/Event_20.jpg,null,,,,
,,,,,html-keyboard-response,37,193730,0.0-5.0-0.16,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,38,199741,0.0-5.0-1.16,7,,null,img/encoding_events/Event_11.jpg,null,,,,
,,,,,html-keyboard-response,39,200243,0.0-5.0-0.17,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,40,206254,0.0-5.0-1.17,7,,null,img/encoding_events/Event_1.jpg,null,,,,
,,,,,html-keyboard-response,41,206756,0.0-5.0-0.18,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,42,212773,0.0-5.0-1.18,7,,null,img/encoding_events/Event_17.jpg,null,,,,
,,,,,html-keyboard-response,43,213278,0.0-5.0-0.19,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,44,219289,0.0-5.0-1.19,7,,null,img/encoding_events/Event_12.jpg,null,,,,
,,,,,html-keyboard-response,45,219791,0.0-5.0-0.20,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,46,225801,0.0-5.0-1.20,7,,null,img/encoding_events/Event_21.jpg,null,,,,
,,,,,html-keyboard-response,47,226304,0.0-5.0-0.21,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,48,232315,0.0-5.0-1.21,7,,null,img/encoding_events/Event_16.jpg,null,,,,
,,,,,html-keyboard-response,49,232818,0.0-5.0-0.22,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,50,238831,0.0-5.0-1.22,7,,null,img/encoding_events/Event_10.jpg,null,,,,
,,,,,html-keyboard-response,51,239332,0.0-5.0-0.23,7,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,52,245344,0.0-5.0-1.23,7,,null,img/encoding_events/Event_14.jpg,null,,,,
,,,,,instructions,53,288008,0.0-6.0,7,"[{""page_index"":0,""viewing_time"":2621},{""page_index"":1,""viewing_time"":5716},{""page_index"":2,""viewing_time"":7764},{""page_index"":3,""viewing_time"":11635},{""page_index"":4,""viewing_time"":9103},{""page_index"":5,""viewing_time"":4482},{""page_index"":6,""viewing_time"":1343}]",42665,,,,,,
,,,,,image-keyboard-response,54,296241,0.0-7.0-0.0-0.0,7,,5714,img/testing_events/Ba/Test_Ba_Event_10.jpg,n,response,Ba,n,TRUE
,,,,,image-keyboard-response,55,297992,0.0-7.0-0.0-0.1,7,,1740,img/testing_events/Ba/Test_Ba_Event_3.jpg,e,response,Ba,e,TRUE
,,,,,image-keyboard-response,56,302497,0.0-7.0-0.0-0.2,7,,4488,img/testing_events/Ba/Test_Ba_Event_1.jpg,c,response,Ba,c,TRUE
,,,,,image-keyboard-response,57,306820,0.0-7.0-0.0-0.3,7,,4311,img/testing_events/Ba/Test_Ba_Event_4.jpg,u,response,Ba,u,TRUE
,,,,,image-keyboard-response,58,310276,0.0-7.0-0.0-0.4,7,,3443,img/testing_events/Ba/Test_Ba_Event_12.jpg,u,response,Ba,u,TRUE
,,,,,image-keyboard-response,59,314675,0.0-7.0-0.0-0.5,7,,4388,img/testing_events/Ba/Test_Ba_Event_9.jpg,e,response,Ba,c,FALSE
,,,,,image-keyboard-response,60,321769,0.0-7.0-0.0-0.6,7,,7084,img/testing_events/Ba/Test_Ba_Event_19.jpg,n,response,Ba,e,FALSE
,,,,,image-keyboard-response,61,325449,0.0-7.0-0.0-0.7,7,,3669,img/testing_events/Ba/Test_Ba_Event_17.jpg,c,response,Ba,c,TRUE
,,,,,image-keyboard-response,62,329756,0.0-7.0-0.0-0.8,7,,4296,img/testing_events/Ba/Test_Ba_Event_21.jpg,c,response,Ba,c,TRUE
,,,,,image-keyboard-response,63,333495,0.0-7.0-0.0-0.9,7,,3730,img/testing_events/Ba/Test_Ba_Event_7.jpg,u,response,Ba,e,FALSE
