success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,rt,stimulus,response,view_history,task,correct_response,correct
TRUE,FALSE,[],[],[],preload,0,69,0.0-0.0,pilota_data_1635123318042,,,,,,,,,
TRUE,,,,,fullscreen,1,6181,0.0-1.0,pilota_data_1635123318042,,,,,,,,,
,,,,,html-keyboard-response,2,8162,0.0-2.0,pilota_data_1635123318042,,,1977,"Welcome to the experiment. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,,,,
,,,,,survey-html-form,3,41899,0.0-3.0,pilota_data_1635123318042,,,32730,,"{""Gender"":""Male"",""Age"":""24"",""ColorBlind"":""No"",""Education"":""Graduate degree (Masters, Doctorate, etc.)"",""Income"":""$100,000-$124,999"",""Race"":""White"",""Fluent"":""Yes"",""AgeEnglish"":""0"",""Country"":""usa"",""consent"":""on""}",,,,
,,,,,instructions,4,45273,0.0-4.0,pilota_data_1635123318042,,,3373,,,"[{""page_index"":0,""viewing_time"":1154},{""page_index"":1,""viewing_time"":821},{""page_index"":2,""viewing_time"":889},{""page_index"":3,""viewing_time"":509}]",,,
,,,,,html-keyboard-response,5,48283,0.0-5.0-0.0,pilota_data_1635123318042,,,null,"<div style=""font-size:60px;"">+</div>",null,,fixation,,
,,,,,image-keyboard-response,6,54296,0.0-5.0-1.0,pilota_data_1635123318042,,,null,img/encoding_events/Event_18.jpg,null,,,,
,,,,,html-keyboard-response,7,54801,0.0-5.0-0.1,pilota_data_1635123318042,,,null,"<div style=""font-size:60px;"">+</div>",null,,fixation,,
,,,,,image-keyboard-response,8,60810,0.0-5.0-1.1,pilota_data_1635123318042,,,null,img/encoding_events/Event_8.jpg,null,,,,
,,,,,html-keyboard-response,9,61316,0.0-5.0-0.2,pilota_data_1635123318042,,,null,"<div style=""font-size:60px;"">+</div>",null,,fixation,,
