success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,view_history,rt,stimulus,response,task,retrieval_group,correct_response,correct
TRUE,FALSE,[],[],[],preload,0,5626,0.0-0.0,1,,,,,,,,
TRUE,,,,,fullscreen,1,8637,0.0-1.0,1,,,,,,,,
,,,,,instructions,2,12257,0.0-2.0,1,"[{""page_index"":0,""viewing_time"":3610}]",3611,,,,,,
,,,,,html-keyboard-response,3,21117,0.0-3.0,1,,8855,"Welcome to the experiment. <br /><br />This experiment will take about 20 minutes. Please complete all in one sitting. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,,,,
,,,,,instructions,4,39569,0.0-4.0,1,"[{""page_index"":0,""viewing_time"":4820},{""page_index"":1,""viewing_time"":9922},{""page_index"":2,""viewing_time"":2706}]",17450,,,,,,
,,,,,html-keyboard-response,5,42577,0.0-5.0-0.0,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,6,48632,0.0-5.0-1.0,1,,null,img/encoding_events/Event_10.jpg,null,,,,
,,,,,html-keyboard-response,7,49143,0.0-5.0-0.1,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,8,55155,0.0-5.0-1.1,1,,null,img/encoding_events/Event_8.jpg,null,,,,
,,,,,html-keyboard-response,9,55661,0.0-5.0-0.2,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,10,61674,0.0-5.0-1.2,1,,null,img/encoding_events/Event_23.jpg,null,,,,
,,,,,html-keyboard-response,11,62178,0.0-5.0-0.3,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,12,68187,0.0-5.0-1.3,1,,null,img/encoding_events/Event_5.jpg,null,,,,
,,,,,html-keyboard-response,13,68692,0.0-5.0-0.4,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,14,74699,0.0-5.0-1.4,1,,null,img/encoding_events/Event_12.jpg,null,,,,
,,,,,html-keyboard-response,15,75205,0.0-5.0-0.5,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,16,81213,0.0-5.0-1.5,1,,null,img/encoding_events/Event_3.jpg,null,,,,
,,,,,html-keyboard-response,17,81718,0.0-5.0-0.6,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,18,87744,0.0-5.0-1.6,1,,null,img/encoding_events/Event_2.jpg,null,,,,
,,,,,html-keyboard-response,19,88249,0.0-5.0-0.7,1,,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,,,,,image-keyboard-response,20,94260,0.0-5.0-1.7,1,,null,img/encoding_events/Event_1.jpg,null,,,,
